Tratamento,Bloco,Stand,Prod
I,I,3.2,1687.4
I,I,0.4,774.8
I,I,0.1,0.01
II,I,7,1946.9
II,I,5.8,1873.1
II,I,5.2,1635.8
III,I,5.2,1892.5
III,I,0.7,798.7
III,I,0,0.01
IV,I,3.9,1333.7
IV,I,1.9,776.2
IV,I,0.4,487.1
V,I,6.9,2058.1
I,II,1.1,1112
I,II,0.07,48
I,II,0,0.01
II,II,1.9,1124
II,II,1.8,1383.5
II,II,1.7,912.7
III,II,2.1,1696.2
III,II,0.8,719.7
III,II,0.1,121.2
IV,II,2,1280.5
IV,II,1.8,1237
IV,II,1.6,724.5
V,II,2.2,1540.3
