ID_UF,media_lp_por_UF,dp_lp_por_UF,media_mt_por_UF,dp_mt_por_UF
11,0.0357536761352271,0.858488854428091,0.0111655829165833,0.806321629961941
12,0.0466210608566582,0.87118100176317,-0.0150858989609839,0.815136603882701
13,-0.0823650383952418,0.894631974456639,-0.148681659519254,0.862830485152751
14,-0.0886101945731304,0.905851899868888,-0.145124284579749,0.879807279283822
15,-0.195102959771084,0.826918000703596,-0.286950387908838,0.779961150338277
16,-0.120298276941073,0.843080783134463,-0.275990155285861,0.766060828400029
17,-0.03007432221729,0.891966544158057,-0.0247929130507158,0.861011714347996
21,-0.319952550842856,0.863787760992745,-0.413314175111315,0.832994911587002
22,-0.0346545892414265,0.885592647534572,-0.057361106901565,0.873884624716975
23,0.212355182003561,0.912704368168761,0.164948476717024,0.938935976285966
24,-0.0775060135470848,0.869864039002023,-0.150242985754212,0.821078043593616
25,-0.105811991924138,0.870843979818524,-0.165493441527379,0.830086466223443
26,-0.0348694327274258,0.876290174033924,-0.053188922312623,0.857822633389242
27,-0.113963833390751,0.908087934016993,-0.0890177376705976,0.930094634769859
28,-0.196083766879393,0.871822779389184,-0.209565459443211,0.809960770327444
29,-0.155737641591497,0.858164570001409,-0.223495825436084,0.797905660424041
31,0.157487917841549,0.908482137827827,0.121947306884526,0.867691916977033
32,0.0837002942923308,0.937319294131839,0.131205416101349,0.880944993085621
33,0.0300232172465124,0.880812921839739,-0.0546004911830378,0.808914781487625
35,0.241148208154614,0.890840075680466,0.186585167446609,0.854109927277524
41,0.160083884928443,0.890816482034191,0.197580122125252,0.836516748882657
42,0.275982417273249,0.856118415692908,0.297416455012232,0.811609044180898
43,0.21656060454854,0.865219930597989,0.17877802359131,0.817640421211276
50,0.0788051864298764,0.875414575455983,0.0723264584271573,0.831142064656571
51,0.00250246974225431,0.896305026190338,-0.0322641222442518,0.858156804879868
52,0.185346752630148,0.879940843454881,0.144921764401251,0.860100336107239
53,0.146460940782884,0.901095192808259,0.120405803798229,0.835416774323032
