SEXO,IN_PUBLICA,media_lp_por_sex_esc,dp_lp_por_sex_esc,media_mt_por_sex_esc,dp_mt_por_sex_esc
Feminino,Pública,0.189589142475245,0.858840419107518,-0.0360049681071497,0.83721359686754
Feminino,Privada,0.809922561845331,0.774460153191402,0.66390918431023,0.827396880467795
Masculino,Pública,-0.047604696148739,0.915987176093033,0.0991428918053465,0.879680628164062
Masculino,Privada,0.565161646293495,0.907566536386009,0.792767918078669,0.882126452861426
